player_name,nationality,position,team,league,age,birth_year_str,matches_played,starts,minutes_played,ninety_minutes,goals,assists,goal_contributions,goals_non_penalty,penalties_scored,penalties_attempted,yellow_cards,red_cards,xg_total,npxg_total,xa_total,npxg_xa_total,progressive_carries,progressive_passes,progressive_receptions,season,goals_per_90,assists_per_90,xG_per_90,xA_per_90,npxG_per_90,birth_year,valuation_year,player_id,market_value_in_eur,date,market_value_millions,team_avg_age,team_goals,team_minutes,squad_size,team_xg,team_xa,team_goals_per_player,goal_share_pct,is_team_top_scorer,minutes_share_pct,is_regular_starter,league_clean,league_multiplier,age_value_multiplier,position_group,position_multiplier,season_year,market_inflation_factor,finishing_efficiency,playmaking_efficiency,xg_overperformance,minutes_per_match,starting_rate,xg_xa_per_90,fifa_overall,fifa_potential,fifa_potential_gap,fifa_matched,is_wonderkid,high_potential_youth,youth_potential_premium,elite_rating
Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23.0,1998.0,13,1,259,2.9,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.31,2.76,0.69,10.0,2021-22,0.0,0.117,0.048,0.048,0.048,1998.0,2021,416380.0,1800000.0,2021-12-22,1.8,26.03846153846154,2.47,30782,26,2.85,1.81,0.095,0.0,0,0.8414008186602561,0,Other,0.75,1.0,MID,1.05,2021,0.92,0.0,2.4285714285714284,-0.14,19.923076923076923,0.0769230769230769,0.096,76.0,79.0,0.0,False,0,0,1.0,0
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29.0,1991.0,31,26,2260,25.1,0.04,0.12,0.16,0.04,0.0,0.0,0.4,0.0,0.05,0.05,0.12,0.16,2.91,5.22,6.1,2021-22,0.002,0.005,0.002,0.005,0.002,1991.0,2021,60410.0,15000000.0,2021-12-30,15.0,26.642857142857142,3.13,34306,28,6.0,7.01,0.1117857142857142,1.2779552715654954,0,6.587768903398822,0,Other,0.75,0.88,DEF,0.9,2021,0.92,0.7999999999999999,1.0,-0.01,72.90322580645162,0.8387096774193549,0.007,76.0,79.0,0.0,False,0,0,1.0,0
Che Adams,sct SCO,FW,Southampton,eng Premier League,25.0,1996.0,30,23,2039,22.7,0.31,0.13,0.44,0.31,0.0,0.0,0.0,0.0,0.31,0.31,0.13,0.44,0.84,1.45,6.74,2021-22,0.014,0.006,0.014,0.006,0.014,1996.0,2021,346779.0,20000000.0,2021-12-23,20.0,25.88,1.9,37554,25,2.7,1.51,0.076,16.315789473684212,1,5.429514831975289,0,Other,0.75,1.0,ATT,1.25,2021,0.92,1.0,1.0,0.0,67.96666666666667,0.7666666666666667,0.02,76.0,79.0,0.0,False,0,0,1.0,0
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22.0,1999.0,24,12,1351,15.0,0.0,0.07,0.07,0.0,0.0,0.0,0.33,0.0,0.01,0.01,0.06,0.07,1.33,6.4,1.53,2021-22,0.0,0.005,0.001,0.004,0.001,1999.0,2021,332705.0,20000000.0,2021-12-22,20.0,23.5,4.5600000000000005,33604,26,4.36,3.21,0.1753846153846154,0.0,0,4.020354719676229,0,Other,0.75,0.95,MID,1.05,2021,0.92,0.0,1.1666666666666667,-0.01,56.29166666666666,0.5,0.005,76.0,79.0,0.0,False,0,0,1.0,0
Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28.0,1993.0,13,2,331,3.7,0.27,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.19,0.19,0.14,0.32,2.43,2.43,7.03,2021-22,0.073,0.0,0.051,0.038,0.051,1993.0,2021,125614.0,3000000.0,2021-12-22,3.0,25.48275862068965,3.38,32340,29,4.65,2.6,0.116551724137931,7.988165680473373,0,1.0235003092145951,0,Other,0.75,1.0,MID,1.05,2021,0.92,1.4210526315789471,0.0,0.08,25.46153846153846,0.1538461538461538,0.089,76.0,79.0,0.0,False,0,0,1.0,0
Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21.0,2000.0,25,13,1256,14.0,0.21,0.14,0.36,0.21,0.0,0.0,0.21,0.0,0.31,0.31,0.15,0.46,3.64,4.0,7.5,2021-22,0.015,0.01,0.022,0.011,0.022,2000.0,2021,532776.0,12000000.0,2021-12-22,12.0,23.96551724137931,4.72,33599,29,4.74,3.58,0.1627586206896551,4.4491525423728815,0,3.7382064942409,0,Other,0.75,0.95,MID,1.05,2021,0.92,0.6774193548387096,0.9333333333333336,-0.1,50.24,0.52,0.033,76.0,79.0,0.0,False,0,0,1.0,0
Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21.0,2000.0,36,25,2260,25.1,0.04,0.28,0.32,0.04,0.0,0.0,0.2,0.0,0.08,0.08,0.23,0.31,2.63,6.53,3.94,2021-22,0.002,0.011,0.003,0.009,0.003,2000.0,2021,395236.0,9000000.0,2021-12-16,9.0,25.11764705882353,3.5,34176,34,3.73,3.66,0.1029411764705882,1.1428571428571428,0,6.612827715355805,0,Other,0.75,0.95,MID,1.05,2021,0.92,0.5,1.2173913043478262,-0.04,62.77777777777778,0.6944444444444444,0.012,76.0,79.0,0.0,False,0,0,1.0,0
Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24.0,1997.0,12,4,443,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.02,0.02,0.08,0.1,0.41,3.88,1.84,2021-22,0.0,0.0,0.004,0.016,0.004,1997.0,2021,237658.0,3500000.0,2021-06-23,3.5,24.59375,3.17,37216,32,3.91,3.28,0.0990625,0.0,0,1.190348237317283,0,Other,0.75,1.0,MID,1.05,2021,0.92,0.0,0.0,-0.02,36.91666666666666,0.3333333333333333,0.02,76.0,79.0,0.0,False,0,0,1.0,0
Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18.0,2003.0,17,6,668,7.4,0.27,0.0,0.27,0.27,0.0,0.0,0.68,0.14,0.23,0.23,0.08,0.3,2.57,0.95,10.4,2021-22,0.036,0.0,0.031,0.011,0.031,2003.0,2021,872380.0,5000000.0,2021-12-28,5.0,24.5,4.05,37518,26,3.77,3.07,0.1557692307692307,6.666666666666668,0,1.7804787035556264,0,Other,0.75,0.6,MID,1.05,2021,0.92,1.173913043478261,0.0,0.04,39.294117647058826,0.3529411764705882,0.0419999999999999,76.0,79.0,0.0,False,0,0,1.0,0
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25.0,1996.0,24,17,1616,18.0,0.0,0.06,0.06,0.0,0.0,0.0,0.22,0.0,0.01,0.01,0.04,0.04,0.83,3.17,2.22,2021-22,0.0,0.003,0.001,0.002,0.001,1996.0,2021,483573.0,3000000.0,2021-12-30,3.0,25.59259259259259,1.32,35253,27,2.13,1.84,0.0488888888888888,0.0,0,4.584007034862282,0,Other,0.75,1.0,DEF,0.9,2021,0.92,0.0,1.5,-0.01,67.33333333333333,0.7083333333333334,0.003,76.0,79.0,0.0,False,0,0,1.0,0
Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20.0,2000.0,4,4,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22,0.0,0.0,0.0,0.0,0.0,2000.0,2021,625014.0,5000000.0,2021-12-30,5.0,25.82608695652174,2.37,35198,23,3.61,1.77,0.1030434782608695,0.0,0,1.022785385533269,0,Other,0.75,0.8,GK,0.75,2021,0.92,0.0,0.0,0.0,90.0,1.0,0.0,76.0,79.0,0.0,False,0,0,1.0,0
Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19.0,2002.0,27,21,1868,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.06,0.05,0.03,0.08,0.77,5.58,1.35,2021-22,0.0,0.0,0.003,0.001,0.002,2002.0,2021,569384.0,6000000.0,2021-12-16,6.0,25.52173913043478,2.5,36568,23,2.48,1.71,0.108695652173913,0.0,0,5.108291402318967,0,Other,0.75,0.8,MID,1.05,2021,0.92,0.0,0.0,-0.06,69.18518518518519,0.7777777777777778,0.004,76.0,79.0,0.0,False,0,0,1.0,0
